Home,hRushYdsScored,hPassYdsScored,hPuntAvgScored,hPenAvgScored,hSackAvgScored,hRushYdsAllowed,hPassYdsAllowed,hPuntAvgAllowed,hPenAvgAllowed,hSackAvgAllowed,hTurnoverDiff,aRushYdsScored,aPassYdsScored,aPuntAvgScored,aPenAvgScored,aSackAvgScored,aRushYdsAllowed,aPassYdsAllowed,aPuntAvgAllowed,aPenAvgAllowed,aSackAvgAllowed,aTurnoverDiff
ARI,102.27212121212122,247.04469696969696,43.159242424242414,7.178082857798768,2.5239393939393944,138.51227272727272,287.91575757575754,40.92787878787879,8.264113516113516,3.9930303030303023,0.2077272727272727,106.56069264069262,265.2776623376623,40.323376623376625,8.187777000777,2.2865800865800865,104.81800865800867,210.91982683982684,39.9769696969697,8.822263793926131,2.254891774891775,-0.40995670995670996
ATL,72.77849927849928,297.15353535353535,35.01262626262626,8.012232529375387,1.275108225108225,120.14834054834056,230.26060606060605,41.705411255411256,9.112710526206198,2.6720779220779227,-1.306132756132756,110.7090909090909,265.1321067821068,41.48556998556999,8.921654407200943,1.9759740259740262,88.32424242424241,262.27121212121216,41.68881673881673,8.392618272380176,2.7673881673881677,0.18867243867243866
BAL,214.29620009620007,266.6810004810005,45.143819143819144,8.280459480394546,2.14968734968735,72.46142376142377,250.4417989417989,42.93381433381433,7.380919099605968,2.0899470899470898,0.9095719095719096,107.64402356902356,256.5805976430977,41.537121212121214,8.081690036488016,2.9361111111111113,111.00867003367004,230.19873737373737,39.72950336700337,7.947411564772675,3.147222222222222,0.44507575757575757
BUF,137.56587301587305,228.30317460317463,34.03095238095238,7.892765380563,2.430952380952381,96.83809523809525,198.46031746031747,43.10476190476191,7.515386432350719,2.3817460317460317,-0.17936507936507937,82.37738095238096,240.24186507936506,42.9438492063492,8.36816232048375,2.4228174603174604,116.57420634920635,231.67162698412696,40.29384920634921,8.733143187830688,2.9359126984126984,-0.443452380952381
CAR,124.36226551226551,220.28455988455988,40.14184704184704,8.743366201699535,3.5025974025974023,139.20281385281385,204.26139971139972,37.104401154401145,8.302692801026135,3.1424963924963922,-0.34682539682539687,103.43737373737375,214.3686868686869,38.205555555555556,9.014244829244829,2.1411616161616163,108.52727272727273,231.20328282828285,41.96717171717172,8.668877064293731,3.0570707070707073,-0.5416666666666666
CHI,81.46666666666667,185.35666666666665,41.45666666666666,8.044841269841271,3.0883333333333334,87.02000000000001,233.625,39.275,8.065234126984127,2.658333333333333,0.7699999999999999,112.49714285714285,244.33571428571432,40.96690476190476,8.76368363911221,2.496666666666667,116.01857142857143,245.37023809523808,40.71,8.332733560090702,2.001428571428572,-0.12928571428571428
CIN,60.19848484848486,268.5845959595959,40.63333333333333,7.667338564213565,1.7160353535353536,151.73295454545453,235.31401515151515,38.86111111111111,7.88404216679785,3.757575757575758,-1.2332070707070708,112.77007575757575,207.17563131313133,43.86464646464646,8.186219941324108,2.710606060606061,110.82626262626263,236.39166666666665,37.58383838383838,9.243772045855378,2.6502525252525255,0.26868686868686864
CLE,113.03777777777778,234.57111111111107,40.437222222222225,9.070292701126036,3.2427777777777775,132.42777777777778,210.61222222222221,41.69833333333333,7.480787037037038,3.0905555555555555,-0.8777777777777779,107.19944444444445,220.85611111111112,38.22888888888889,8.50971031591865,2.3533333333333335,107.45166666666667,225.9227777777778,41.41055555555555,8.72805321067821,2.5544444444444445,0.32388888888888884
DAL,142.88030303030305,301.7590909090909,39.750757575757575,9.367962225064499,2.2257575757575756,98.33030303030303,231.5522727272727,43.67878787878787,8.493466865625956,0.9515151515151515,-0.06136363636363636,104.21969696969697,219.47575757575754,41.58737373737374,7.9959987319078225,2.588888888888889,121.9449494949495,238.81010101010102,43.57171717171717,9.09023569023569,2.525252525252525,-0.2777777777777778
DEN,110.24646464646463,220.9218434343434,39.99987373737374,8.250246061808562,1.2329545454545456,111.47702020202019,210.69368686868685,42.79532828282828,8.113241041366042,3.10239898989899,-0.48308080808080806,91.18152958152957,246.54992784992785,41.63549783549783,9.274452020642496,3.226334776334776,113.19862914862915,219.96926406926409,40.1510101010101,7.971081850248518,2.9151515151515155,-0.3450937950937951
DET,104.5486531986532,288.90117845117845,40.420033670033675,7.310051452475694,2.644781144781145,126.78232323232322,276.98316498316495,45.08956228956229,7.071756587034365,2.143097643097643,0.1515151515151515,116.83429533429533,271.4360269360269,40.37157287157287,8.788933076036251,2.442881192881193,127.30964405964407,224.23821548821547,39.99543049543049,7.210532574421464,2.3162578162578162,-0.3315295815295815
GB,87.66666666666667,215.46851851851852,43.93703703703704,7.233205467372134,3.407407407407407,114.89444444444445,225.6648148148148,42.861111111111114,10.655852974186308,2.814814814814815,1.224074074074074,125.32361111111112,219.25138888888887,40.71944444444444,8.434394540644542,2.161111111111111,100.9375,254.41944444444448,39.79027777777778,7.914595458553792,2.0722222222222224,0.48055555555555557
HOU,137.833658008658,237.51406926406926,39.13777056277056,8.787788471449186,2.351984126984127,109.01428571428572,284.4351370851371,42.19206349206349,7.736081113651459,3.7971500721500724,0.15555555555555553,105.84873737373738,268.74040404040403,41.64343434343434,8.519331810165143,2.11489898989899,105.55505050505052,239.36944444444444,38.81944444444444,9.167323972323972,1.8545454545454543,-0.4982323232323231
IND,143.81565656565655,198.47348484848484,40.84891774891775,7.38834368343297,2.7646464646464644,110.37976190476192,234.3531746031746,41.80609668109668,9.628658883204338,1.591089466089466,-0.004148629148629147,105.07549989692848,232.75376211090497,39.70498350855494,8.616090038709086,2.221294578437436,113.27277880849309,236.23688414759843,42.19941764584622,8.876237419844408,3.064110492681922,-0.558879612451041
JAX,125.18311688311687,249.89077922077922,45.17785714285714,8.232663583890858,2.7714285714285714,124.75311688311687,240.65597402597405,40.58844155844156,9.290016027623171,2.378051948051948,-0.4635714285714285,105.32621212121212,220.62651515151515,40.457727272727276,9.035342412217412,2.5074242424242423,99.83378787878789,252.8318181818182,41.24015151515151,8.787152552834373,3.2162121212121213,0.2248484848484849
KC,86.99989177489176,344.22835497835496,38.550162337662336,9.641322895779064,2.640205627705628,141.24967532467534,241.94296536796537,38.480465367965365,7.283682745825602,1.256331168831169,0.6334956709956711,144.5896645021645,254.95979437229437,42.605357142857144,8.488651219211285,2.6766774891774894,95.08414502164503,249.72683982683978,43.14702380952381,8.7306960978836,1.8656385281385282,0.5371753246753247
LA,112.80529100529101,259.66640211640214,36.202910052910056,7.76478338533894,2.7044973544973545,100.42248677248678,226.83624338624338,39.14920634920635,8.024274460107794,1.6153439153439153,0.11296296296296297,134.41084656084658,247.9821428571429,40.073412698412696,7.945997846950228,3.1022486772486775,118.11944444444445,230.75674603174602,40.230158730158735,8.495428037937957,2.234656084656085,0.06626984126984124
LAC,95.97999999999999,286.475,37.875,8.236033730158729,2.0149999999999997,120.71,215.635,41.06,7.963434523809525,2.26,-0.525,102.585,246.725,41.325,8.423895743145744,2.6100000000000003,134.48,234.59,42.46,8.509008477633477,2.435,0.265
MIA,51.84842472342473,185.71314333814334,44.59030784030784,7.659398883009993,1.2643698893698894,183.91191678691678,286.12848725348726,42.096079846079846,10.15141494308161,3.9840067340067336,-1.892676767676768,98.13982683982685,241.81972101972107,42.358441558441555,8.20572123349901,1.78027898027898,98.73544973544973,245.73867243867244,40.96315536315536,8.48656405323072,2.8485810485810483,-0.3149110149110149
MIN,166.1,203.38571428571427,41.699999999999996,9.791326530612245,2.903571428571429,94.475,228.8642857142857,38.95357142857143,8.105905612244898,1.6535714285714287,0.3214285714285714,105.47579365079366,207.0781746031746,41.233333333333334,8.051204648526078,2.374206349206349,91.99603174603175,262.9527777777778,42.72142857142857,8.406117094986143,2.2154761904761906,-0.17976190476190473
NE,99.76785714285714,284.5785714285714,42.81428571428572,8.98406462585034,3.9428571428571426,71.75357142857143,167.75714285714287,38.31785714285714,8.738104395604395,1.592857142857143,1.8,112.05833333333334,238.70833333333331,40.391666666666666,8.580931938431938,2.5916666666666663,122.05,247.28333333333333,39.9,7.9510822510822505,2.5166666666666666,-0.15
NO,106.58333333333334,244.65,43.11738095238095,7.767067357245928,2.7664285714285715,101.29095238095239,256.6904761904762,36.4147619047619,7.903052721088434,1.6228571428571428,0.4492857142857143,122.83571428571429,268.75095238095236,38.94666666666667,8.454626417233559,2.466904761904762,105.03357142857142,264.4521428571428,42.45428571428571,8.53884786840144,2.5954761904761905,-0.0011904761904761862
NYG,116.7645202020202,261.48547979797985,43.24684343434344,8.548606601731601,2.102272727272727,115.65214646464646,304.36805555555554,39.510732323232325,7.533327320827321,2.1900252525252526,-1.3680555555555556,117.22853535353538,247.25649350649348,40.80627705627706,8.245545735129069,2.620670995670996,109.91432178932179,233.05555555555557,42.416486291486294,8.683587498360223,2.063852813852814,-0.5732323232323232
NYJ,67.27000000000001,151.57,42.3,9.032619047619049,1.605,95.92999999999999,256.15,36.9,8.52121031746032,4.695,0.445,114.92222222222222,261.8,42.13777777777777,9.275565416065415,3.068888888888889,106.3711111111111,224.63111111111112,40.41111111111111,8.613705467372133,2.528888888888889,-0.6422222222222221
OAK,124.28849206349207,238.98015873015873,40.510714285714286,8.715831257587208,2.0408730158730157,96.66031746031747,279.20158730158727,42.75912698412698,8.080854119425549,1.120238095238095,-0.11626984126984127,89.97698412698414,274.21507936507936,39.2047619047619,8.538856135046611,2.088095238095238,112.06507936507937,266.2150793650794,42.91111111111111,7.7280293868389105,1.9293650793650794,0.4746031746031745
PHI,115.95666666666666,233.50333333333333,44.67666666666666,8.766265432098765,1.9083333333333332,73.66666666666666,279.275,40.74055555555556,7.689217592592593,2.094444444444444,-0.11222222222222222,95.97968253968254,232.41492063492063,41.02603174603175,8.391869236583522,2.5450793650793653,99.87555555555556,244.0520634920635,39.980000000000004,8.145032567961138,2.5765079365079364,0.7501587301587301
PIT,71.61943413729128,215.49822201607918,40.881802721088434,9.523338989653924,2.905921459492888,112.17207792207793,263.4409400123686,41.331941867656155,9.562007314732268,1.1147186147186148,0.8399041434755722,105.13481756338898,238.87074829931973,42.00587507730365,7.841301008137742,2.5019325912183055,112.73724489795919,269.31856833642547,39.496830550401974,8.300906600013743,2.7452071737786023,-0.16991341991341988
SEA,124.08181818181818,250.6159090909091,40.45909090909091,8.151490800865803,1.95,86.90075757575758,267.1454545454545,41.95833333333333,9.439147945909308,3.0083333333333333,0.7386363636363636,129.79805194805195,265.15541125541125,39.63225108225109,8.093553353212444,2.787445887445888,96.53398268398269,257.56233766233765,40.80930735930736,8.14701344951345,2.433333333333333,-0.22012987012987012
SF,168.01157407407405,228.48194444444445,42.511574074074076,9.226912528058362,3.5620370370370367,93.19212962962963,166.4560185185185,38.150925925925925,8.451744929453263,1.2981481481481483,0.4259259259259259,108.46111111111111,244.94722222222222,41.480555555555554,8.779150633317302,2.875925925925926,119.88611111111112,263.77685185185186,41.74722222222222,8.657085604724495,2.401851851851852,0.5546296296296296
TB,105.12083333333332,248.37430555555557,35.97291666666666,8.170958719135802,2.2270833333333333,73.55069444444445,287.87222222222226,44.56666666666666,9.110739202926702,3.531944444444444,-0.24791666666666665,127.87222222222222,247.73888888888888,42.25833333333333,7.820913500080167,2.6805555555555554,118.01666666666667,256.11111111111114,39.23888888888889,8.110081569664903,2.2555555555555555,-0.3055555555555556
TEN,110.1351851851852,205.0128306878307,43.12261904761905,10.587797514067354,3.1119047619047624,101.8339947089947,236.62896825396828,43.00515873015873,8.444128907174541,4.322354497354497,1.0906084656084656,123.0324074074074,253.64444444444447,37.49074074074074,7.6162109187109195,2.6675925925925927,111.98425925925926,243.54074074074072,41.99074074074074,7.904187625645958,2.4740740740740743,0.1037037037037037
WAS,62.01574074074074,241.66111111111113,45.82129629629629,7.690307172251617,1.7027777777777782,140.4,261.4101851851852,44.06111111111111,8.742348251028806,2.0768518518518517,-0.1861111111111111,104.2638888888889,252.23333333333335,42.46574074074074,8.786001015445459,2.751851851851852,95.67314814814814,237.66574074074074,40.14351851851852,8.514309229864788,1.8888888888888886,0.5740740740740741
