Home,hRushYdsScored,hPassYdsScored,hPuntAvgScored,hPenAvgScored,hSackAvgScored,hRushYdsAllowed,hPassYdsAllowed,hPuntAvgAllowed,hPenAvgAllowed,hSackAvgAllowed,hTurnoverDiff
ARI,102.27212121212122,247.04469696969696,43.159242424242414,7.178082857798768,2.5239393939393944,138.51227272727272,287.91575757575754,40.92787878787879,8.264113516113516,3.9930303030303023,0.2077272727272727
ATL,72.77849927849928,297.15353535353535,35.01262626262626,8.012232529375387,1.275108225108225,120.14834054834056,230.26060606060605,41.705411255411256,9.112710526206198,2.6720779220779227,-1.306132756132756
BAL,214.29620009620007,266.6810004810005,45.143819143819144,8.280459480394546,2.14968734968735,72.46142376142377,250.4417989417989,42.93381433381433,7.380919099605968,2.0899470899470898,0.9095719095719096
BUF,137.56587301587305,228.30317460317463,34.03095238095238,7.892765380563,2.430952380952381,96.83809523809525,198.46031746031747,43.10476190476191,7.515386432350719,2.3817460317460317,-0.17936507936507937
CAR,124.36226551226551,220.28455988455988,40.14184704184704,8.743366201699535,3.5025974025974023,139.20281385281385,204.26139971139972,37.104401154401145,8.302692801026135,3.1424963924963922,-0.34682539682539687
CHI,81.46666666666667,185.35666666666665,41.45666666666666,8.044841269841271,3.0883333333333334,87.02000000000001,233.625,39.275,8.065234126984127,2.658333333333333,0.7699999999999999
CIN,60.19848484848486,268.5845959595959,40.63333333333333,7.667338564213565,1.7160353535353536,151.73295454545453,235.31401515151515,38.86111111111111,7.88404216679785,3.757575757575758,-1.2332070707070708
CLE,113.03777777777778,234.57111111111107,40.437222222222225,9.070292701126036,3.2427777777777775,132.42777777777778,210.61222222222221,41.69833333333333,7.480787037037038,3.0905555555555555,-0.8777777777777779
DAL,142.88030303030305,301.7590909090909,39.750757575757575,9.367962225064499,2.2257575757575756,98.33030303030303,231.5522727272727,43.67878787878787,8.493466865625956,0.9515151515151515,-0.06136363636363636
DEN,110.24646464646463,220.9218434343434,39.99987373737374,8.250246061808562,1.2329545454545456,111.47702020202019,210.69368686868685,42.79532828282828,8.113241041366042,3.10239898989899,-0.48308080808080806
DET,104.5486531986532,288.90117845117845,40.420033670033675,7.310051452475694,2.644781144781145,126.78232323232322,276.98316498316495,45.08956228956229,7.071756587034365,2.143097643097643,0.1515151515151515
GB,87.66666666666667,215.46851851851852,43.93703703703704,7.233205467372134,3.407407407407407,114.89444444444445,225.6648148148148,42.861111111111114,10.655852974186308,2.814814814814815,1.224074074074074
HOU,137.833658008658,237.51406926406926,39.13777056277056,8.787788471449186,2.351984126984127,109.01428571428572,284.4351370851371,42.19206349206349,7.736081113651459,3.7971500721500724,0.15555555555555553
IND,143.81565656565655,198.47348484848484,40.84891774891775,7.38834368343297,2.7646464646464644,110.37976190476192,234.3531746031746,41.80609668109668,9.628658883204338,1.591089466089466,-0.004148629148629147
JAX,125.18311688311687,249.89077922077922,45.17785714285714,8.232663583890858,2.7714285714285714,124.75311688311687,240.65597402597405,40.58844155844156,9.290016027623171,2.378051948051948,-0.4635714285714285
KC,86.99989177489176,344.22835497835496,38.550162337662336,9.641322895779064,2.640205627705628,141.24967532467534,241.94296536796537,38.480465367965365,7.283682745825602,1.256331168831169,0.6334956709956711
LA,112.80529100529101,259.66640211640214,36.202910052910056,7.76478338533894,2.7044973544973545,100.42248677248678,226.83624338624338,39.14920634920635,8.024274460107794,1.6153439153439153,0.11296296296296297
LAC,95.97999999999999,286.475,37.875,8.236033730158729,2.0149999999999997,120.71,215.635,41.06,7.963434523809525,2.26,-0.525
MIA,51.84842472342473,185.71314333814334,44.59030784030784,7.659398883009993,1.2643698893698894,183.91191678691678,286.12848725348726,42.096079846079846,10.15141494308161,3.9840067340067336,-1.892676767676768
MIN,166.1,203.38571428571427,41.699999999999996,9.791326530612245,2.903571428571429,94.475,228.8642857142857,38.95357142857143,8.105905612244898,1.6535714285714287,0.3214285714285714
NE,99.76785714285714,284.5785714285714,42.81428571428572,8.98406462585034,3.9428571428571426,71.75357142857143,167.75714285714287,38.31785714285714,8.738104395604395,1.592857142857143,1.8
NO,106.58333333333334,244.65,43.11738095238095,7.767067357245928,2.7664285714285715,101.29095238095239,256.6904761904762,36.4147619047619,7.903052721088434,1.6228571428571428,0.4492857142857143
NYG,116.7645202020202,261.48547979797985,43.24684343434344,8.548606601731601,2.102272727272727,115.65214646464646,304.36805555555554,39.510732323232325,7.533327320827321,2.1900252525252526,-1.3680555555555556
NYJ,67.27000000000001,151.57,42.3,9.032619047619049,1.605,95.92999999999999,256.15,36.9,8.52121031746032,4.695,0.445
OAK,124.28849206349207,238.98015873015873,40.510714285714286,8.715831257587208,2.0408730158730157,96.66031746031747,279.20158730158727,42.75912698412698,8.080854119425549,1.120238095238095,-0.11626984126984127
PHI,115.95666666666666,233.50333333333333,44.67666666666666,8.766265432098765,1.9083333333333332,73.66666666666666,279.275,40.74055555555556,7.689217592592593,2.094444444444444,-0.11222222222222222
PIT,71.61943413729128,215.49822201607918,40.881802721088434,9.523338989653924,2.905921459492888,112.17207792207793,263.4409400123686,41.331941867656155,9.562007314732268,1.1147186147186148,0.8399041434755722
SEA,124.08181818181818,250.6159090909091,40.45909090909091,8.151490800865803,1.95,86.90075757575758,267.1454545454545,41.95833333333333,9.439147945909308,3.0083333333333333,0.7386363636363636
SF,168.01157407407405,228.48194444444445,42.511574074074076,9.226912528058362,3.5620370370370367,93.19212962962963,166.4560185185185,38.150925925925925,8.451744929453263,1.2981481481481483,0.4259259259259259
TB,105.12083333333332,248.37430555555557,35.97291666666666,8.170958719135802,2.2270833333333333,73.55069444444445,287.87222222222226,44.56666666666666,9.110739202926702,3.531944444444444,-0.24791666666666665
TEN,110.1351851851852,205.0128306878307,43.12261904761905,10.587797514067354,3.1119047619047624,101.8339947089947,236.62896825396828,43.00515873015873,8.444128907174541,4.322354497354497,1.0906084656084656
WAS,62.01574074074074,241.66111111111113,45.82129629629629,7.690307172251617,1.7027777777777782,140.4,261.4101851851852,44.06111111111111,8.742348251028806,2.0768518518518517,-0.1861111111111111
